"Year","NUTS2","Unem"
2011,"AT34",4.1
2011,"AT12",4.5
2011,"AT33",2.7
2011,"AT32",2.9
2011,"AT22",3.6
2011,"AT11",3.8
2011,"AT31",3.4
2011,"AT13",8.1
2011,"AT21",4.3
2012,"AT34",4
2012,"AT22",4
2012,"AT31",3.3
2012,"AT32",2.9
2012,"AT11",4.6
2012,"AT33",2.8
2012,"AT21",5
2012,"AT12",4.6
2012,"AT13",8.9
2013,"AT34",3.6
2013,"AT33",3.1
2013,"AT31",4.3
2013,"AT32",3.2
2013,"AT22",4.7
2013,"AT13",9.3
2013,"AT21",5.5
2013,"AT12",5
2013,"AT11",4.3
2014,"AT32",3.5
2014,"AT33",3.2
2014,"AT31",4.1
2014,"AT12",5.1
2014,"AT34",3.4
2014,"AT13",10.2
2014,"AT21",6
2014,"AT22",5
2014,"AT11",4.8
2015,"AT31",4.1
2015,"AT32",3.5
2015,"AT21",6.1
2015,"AT34",3.5
2015,"AT22",4.7
2015,"AT13",10.6
2015,"AT12",5.2
2015,"AT33",3
2015,"AT11",5.2
2016,"AT22",5.1
2016,"AT33",3.5
2016,"AT21",5.4
2016,"AT12",5.2
2016,"AT31",4.5
2016,"AT11",5.7
2016,"AT13",11.3
2016,"AT32",3.4
2016,"AT34",3.4
2011,"BE35",8
2011,"BE31",6.7
2011,"BE33",9.5
2011,"BE10",17
2011,"BE34",6.2
2011,"BE22",4.6
2011,"BE21",5.7
2011,"BE32",11.7
2011,"BE25",3.2
2011,"BE24",3.5
2011,"BE23",3.8
2012,"BE35",7.3
2012,"BE33",10.7
2012,"BE34",7.6
2012,"BE25",3.9
2012,"BE31",7
2012,"BE24",4.4
2012,"BE32",12.1
2012,"BE21",5.3
2012,"BE10",17.4
2012,"BE22",4.7
2012,"BE23",4.1
2013,"BE35",10.4
2013,"BE34",7.9
2013,"BE33",11.7
2013,"BE24",5.5
2013,"BE32",13.3
2013,"BE25",3.9
2013,"BE23",4
2013,"BE31",8.2
2013,"BE22",5.5
2013,"BE21",6.2
2013,"BE10",19.2
2014,"BE32",14.4
2014,"BE33",12.3
2014,"BE35",8.9
2014,"BE34",8.5
2014,"BE23",4.3
2014,"BE31",8.9
2014,"BE24",5
2014,"BE25",4.2
2014,"BE21",6.1
2014,"BE22",5.6
2014,"BE10",18.3
2015,"BE32",13.3
2015,"BE31",7.9
2015,"BE25",4.2
2015,"BE23",4.4
2015,"BE34",9.3
2015,"BE33",12.9
2015,"BE21",6.1
2015,"BE35",10.9
2015,"BE22",6
2015,"BE24",5.1
2015,"BE10",17.3
2016,"BE31",7.9
2016,"BE25",3.7
2016,"BE32",11.8
2016,"BE34",7.8
2016,"BE21",6.1
2016,"BE23",4.2
2016,"BE10",16.8
2016,"BE22",4.8
2016,"BE24",4.8
2016,"BE33",11.1
2016,"BE35",9.7
2011,"CZ05",6.6
2011,"CZ02",5.1
2011,"CZ08",9.3
2011,"CZ07",7.6
2011,"CZ03",5.3
2011,"CZ01",3.6
2011,"CZ06",7.2
2011,"CZ04",9.5
2012,"CZ05",8
2012,"CZ07",7.5
2012,"CZ03",5.3
2012,"CZ01",3.1
2012,"CZ06",7.6
2012,"CZ02",4.6
2012,"CZ08",9.5
2012,"CZ04",10.7
2013,"CZ05",8.3
2013,"CZ07",8
2013,"CZ03",5.2
2013,"CZ01",3.1
2013,"CZ08",9.9
2013,"CZ06",6.8
2013,"CZ02",5.2
2013,"CZ04",9.6
2014,"CZ05",6.4
2014,"CZ01",2.5
2014,"CZ07",6.9
2014,"CZ03",5.5
2014,"CZ08",8.6
2014,"CZ06",6
2014,"CZ02",5.1
2014,"CZ04",8.7
2015,"CZ05",5.2
2015,"CZ03",3.9
2015,"CZ08",8.2
2015,"CZ06",4.9
2015,"CZ02",3.5
2015,"CZ01",2.8
2015,"CZ07",5.3
2015,"CZ04",7.3
2016,"CZ04",5.2
2016,"CZ03",3.1
2016,"CZ01",2.2
2016,"CZ05",4
2016,"CZ07",3.9
2016,"CZ02",3.1
2016,"CZ06",3.7
2016,"CZ08",6.9
2011,"DE80",10.1
2011,"DE11",3.7
2011,"DE93",5.3
2011,"DE92",6.7
2011,"DE12",4.2
2011,"DE91",6.3
2011,"DE27",3.4
2011,"DE13",3
2011,"DE60",5.3
2011,"DE94",4.2
2011,"DE14",3.1
2011,"DE40",8.8
2011,"DE26",3.5
2011,"DE30",11.7
2011,"DE50",7.8
2011,"DE71",4.7
2011,"DEA1",6.8
2011,"DE21",2.8
2011,"DE23",3.4
2011,"DEE0",10.4
2011,"DEG0",7.6
2011,"DE24",4.2
2011,"DE72",5.1
2011,"DEA2",6
2011,"DE22",2.8
2011,"DE73",4.4
2011,"DEF0",5.8
2011,"DED5",11.1
2011,"DE25",4
2011,"DED4",8.8
2011,"DEA3",5.3
2011,"DEA5",7.1
2011,"DEB3",5.2
2011,"DEA4",5.5
2011,"DEB1",4.4
2011,"DED2",8.6
2011,"DEB2",4.1
2011,"DEC0",5.9
2012,"DE50",6.6
2012,"DE60",5.3
2012,"DE72",5
2012,"DE40",8.2
2012,"DE27",3.2
2012,"DE73",4.5
2012,"DE26",3.5
2012,"DE30",10.4
2012,"DE71",4.8
2012,"DEB2",2.7
2012,"DE11",3.4
2012,"DEG0",7.3
2012,"DE80",10.8
2012,"DE12",4
2012,"DEE0",9.5
2012,"DE24",3.3
2012,"DEB3",4.3
2012,"DEF0",5
2012,"DED5",9.5
2012,"DE91",5.6
2012,"DE13",2.9
2012,"DE23",3.2
2012,"DE25",3.7
2012,"DEC0",6.3
2012,"DED4",7.9
2012,"DEB1",4
2012,"DE92",5.4
2012,"DE14",2.7
2012,"DEA4",4.7
2012,"DE93",4.4
2012,"DED2",7.5
2012,"DEA5",6.6
2012,"DE94",4.3
2012,"DE22",3.3
2012,"DE21",2.7
2012,"DEA1",6.5
2012,"DEA3",4.9
2012,"DEA2",5.4
2013,"DE60",4.7
2013,"DE50",7
2013,"DE71",4.3
2013,"DE40",7.3
2013,"DED4",7.4
2013,"DE72",4.5
2013,"DEA5",6.6
2013,"DED5",9.2
2013,"DEA4",5
2013,"DEB1",3.8
2013,"DED2",7.3
2013,"DE23",3.4
2013,"DE73",4.3
2013,"DEE0",9.1
2013,"DEG0",6
2013,"DE80",10.1
2013,"DEB2",3.1
2013,"DE12",3.6
2013,"DE24",3.9
2013,"DEB3",4.4
2013,"DEF0",4.9
2013,"DE25",3.1
2013,"DE91",6.2
2013,"DE11",3.7
2013,"DE13",2.9
2013,"DE92",5.4
2013,"DEC0",6
2013,"DE22",3.2
2013,"DE26",3.3
2013,"DE30",10.4
2013,"DE14",2.9
2013,"DE27",3.3
2013,"DE93",4.4
2013,"DE21",2.5
2013,"DEA3",5.1
2013,"DE94",4
2013,"DEA2",5.8
2013,"DEA1",6.4
2014,"DE50",6.6
2014,"DE40",6.7
2014,"DE60",5
2014,"DED4",6.4
2014,"DED2",7.4
2014,"DE71",4.5
2014,"DE27",3
2014,"DE22",2.9
2014,"DE72",4.5
2014,"DE30",9.8
2014,"DED5",8.3
2014,"DE73",4.4
2014,"DE26",2.9
2014,"DE21",2.5
2014,"DE23",2.7
2014,"DEB2",3
2014,"DEC0",5.8
2014,"DEE0",8.8
2014,"DE80",9.6
2014,"DE14",2.7
2014,"DE12",3.5
2014,"DE24",4
2014,"DEB3",4
2014,"DE13",3
2014,"DEF0",4.6
2014,"DE91",5.5
2014,"DE11",3.1
2014,"DEG0",6
2014,"DE25",3.1
2014,"DE94",4.1
2014,"DEA4",5
2014,"DEB1",4.1
2014,"DE92",5.2
2014,"DEA5",5.7
2014,"DEA3",4.9
2014,"DE93",4
2014,"DEA1",6.4
2014,"DEA2",5.3
2015,"DE23",2.8
2015,"DE25",3
2015,"DE22",2.5
2015,"DE26",3
2015,"DE30",9.5
2015,"DE24",3.9
2015,"DE27",3
2015,"DE40",5.7
2015,"DE21",2.7
2015,"DEB2",2.9
2015,"DE14",3
2015,"DE12",3.3
2015,"DE92",4.7
2015,"DED2",6.2
2015,"DE50",5.6
2015,"DE93",3.5
2015,"DEB3",4.1
2015,"DE11",3.4
2015,"DE13",2.5
2015,"DEC0",5.6
2015,"DED4",5.4
2015,"DE60",4.3
2015,"DE94",4
2015,"DEA2",4.8
2015,"DEA4",4.7
2015,"DEB1",3.4
2015,"DEA3",4.4
2015,"DED5",7.7
2015,"DE71",4.1
2015,"DEA1",5.9
2015,"DEE0",8
2015,"DEA5",5.7
2015,"DE80",7.8
2015,"DEF0",4.2
2015,"DE73",3.6
2015,"DE72",3.9
2015,"DEG0",5.8
2015,"DE91",4.9
2016,"DE27",2.7
2016,"DE26",2.5
2016,"DE23",2.9
2016,"DE14",2.6
2016,"DE22",2.1
2016,"DE24",3.3
2016,"DE30",7.8
2016,"DEA5",5
2016,"DE25",2.5
2016,"DE40",4.6
2016,"DE21",2.4
2016,"DE92",4.7
2016,"DE94",3.6
2016,"DEA4",4.1
2016,"DEB1",3.4
2016,"DED2",4.9
2016,"DE50",5.4
2016,"DE71",4
2016,"DE93",3.3
2016,"DEA1",4.9
2016,"DE11",3.3
2016,"DEB2",2.7
2016,"DED4",4.4
2016,"DE60",4.1
2016,"DE72",4
2016,"DE80",6.3
2016,"DEA2",3.9
2016,"DE12",3.1
2016,"DEB3",4.1
2016,"DED5",6
2016,"DEF0",4
2016,"DE73",3.7
2016,"DE91",4.6
2016,"DEA3",4.3
2016,"DE13",3
2016,"DEC0",4.9
2016,"DEE0",7.4
2016,"DEG0",5.1
2011,"DK04",6.7
2011,"DK01",8.1
2011,"DK05",8
2011,"DK02",7.2
2011,"DK03",7.7
2012,"DK05",7.9
2012,"DK04",6.8
2012,"DK03",7.9
2012,"DK02",6.4
2012,"DK01",8.2
2013,"DK05",6.4
2013,"DK04",6.5
2013,"DK03",7.2
2013,"DK02",6.8
2013,"DK01",7.4
2014,"DK05",6.4
2014,"DK04",6.1
2014,"DK03",6.7
2014,"DK02",6.3
2014,"DK01",7.1
2015,"DK03",6.1
2015,"DK04",5.6
2015,"DK01",6.7
2015,"DK05",6.3
2015,"DK02",5.9
2016,"DK02",6.2
2016,"DK04",5.5
2016,"DK01",6.6
2016,"DK03",6.3
2016,"DK05",6.2
2011,"HU32",14.6
2011,"HU31",16.4
2011,"HU21",9.5
2011,"HU10",9
2011,"HU33",10.5
2011,"HU22",7.3
2011,"HU23",12.9
2012,"HU31",16.1
2012,"HU32",13.9
2012,"HU33",10.3
2012,"HU22",7.5
2012,"HU10",9.5
2012,"HU23",12.1
2012,"HU21",9.9
2013,"HU32",14.2
2013,"HU33",11
2013,"HU31",12.6
2013,"HU23",9.3
2013,"HU22",7.7
2013,"HU10",8.7
2013,"HU21",8.7
2014,"HU32",11.8
2014,"HU23",7.8
2014,"HU33",9
2014,"HU31",10.4
2014,"HU10",6.2
2014,"HU21",5.6
2014,"HU22",4.6
2015,"HU23",8.1
2015,"HU31",8.7
2015,"HU10",5.3
2015,"HU33",7.9
2015,"HU32",10.9
2015,"HU22",3.8
2015,"HU21",4.4
2016,"HU22",2.7
2016,"HU21",3
2016,"HU23",6.2
2016,"HU32",9.3
2016,"HU10",3.8
2016,"HU31",6.3
2016,"HU33",5.6
2011,"LU00",4.9
2012,"LU00",5.1
2013,"LU00",5.9
2014,"LU00",5.9
2015,"LU00",6.7
2016,"LU00",6.3
2011,"NL41",4.6
2011,"NL42",4.8
2011,"NL33",5.6
2011,"NL11",6.8
2011,"NL31",4.2
2011,"NL12",5.1
2011,"NL32",5
2011,"NL34",3.2
2011,"NL22",4.7
2011,"NL21",4.9
2011,"NL13",5.3
2011,"NL23",5.4
2012,"NL41",5.3
2012,"NL33",6.9
2012,"NL42",5.4
2012,"NL31",5.2
2012,"NL22",5.3
2012,"NL34",3.5
2012,"NL23",7.3
2012,"NL13",6.4
2012,"NL32",5.4
2012,"NL11",7
2012,"NL12",6.4
2012,"NL21",5.6
2013,"NL41",6.7
2013,"NL33",8
2013,"NL22",6.6
2013,"NL42",7.4
2013,"NL31",6.4
2013,"NL13",7.1
2013,"NL34",5
2013,"NL23",9.9
2013,"NL11",8.3
2013,"NL32",7.2
2013,"NL21",7.2
2013,"NL12",8.4
2014,"NL33",8.4
2014,"NL41",7
2014,"NL42",7.4
2014,"NL22",6.9
2014,"NL34",5.4
2014,"NL31",6.4
2014,"NL13",7.3
2014,"NL32",6.9
2014,"NL23",11
2014,"NL11",8.6
2014,"NL21",7.3
2014,"NL12",7.9
2015,"NL31",6.4
2015,"NL34",5.3
2015,"NL33",7.8
2015,"NL32",6.2
2015,"NL13",7.5
2015,"NL22",6.3
2015,"NL41",6.5
2015,"NL23",7.9
2015,"NL42",6.3
2015,"NL21",6.9
2015,"NL11",9.1
2015,"NL12",7.9
2016,"NL32",5.5
2016,"NL11",8.2
2016,"NL31",5
2016,"NL33",7.1
2016,"NL41",5.3
2016,"NL13",6.5
2016,"NL22",5.6
2016,"NL12",6.7
2016,"NL21",6.2
2016,"NL23",8
2016,"NL34",3.9
2016,"NL42",5.7
2011,"PL62",9.6
2011,"PL63",8.5
2011,"PL11",9.3
2011,"PL34",9.3
2011,"PL33",13
2011,"PL12",7.9
2011,"PL52",9.3
2011,"PL43",9.5
2011,"PL21",9.4
2011,"PL61",11
2011,"PL41",8.6
2011,"PL22",9.2
2011,"PL32",12.5
2011,"PL31",10.3
2011,"PL51",10.6
2011,"PL42",11.8
2012,"PL52",9.5
2012,"PL62",11
2012,"PL61",11.9
2012,"PL63",9.6
2012,"PL43",9
2012,"PL41",8.5
2012,"PL11",11.1
2012,"PL51",11.1
2012,"PL33",13.2
2012,"PL12",8
2012,"PL22",9.4
2012,"PL21",10.4
2012,"PL42",10.9
2012,"PL31",10.5
2012,"PL34",9.3
2012,"PL32",13.3
2013,"PL52",9.4
2013,"PL43",9.7
2013,"PL41",8.8
2013,"PL63",10.1
2013,"PL51",11.3
2013,"PL61",12.4
2013,"PL33",13
2013,"PL12",8
2013,"PL62",11.4
2013,"PL42",10.1
2013,"PL21",10.9
2013,"PL31",10.3
2013,"PL11",11.1
2013,"PL34",9.9
2013,"PL32",14.4
2013,"PL22",9.7
2014,"PL43",8.3
2014,"PL41",7.7
2014,"PL51",9.1
2014,"PL33",11.4
2014,"PL61",10.7
2014,"PL52",7.8
2014,"PL62",9.8
2014,"PL42",8.4
2014,"PL31",9.9
2014,"PL63",8.6
2014,"PL34",9.2
2014,"PL32",14
2014,"PL11",8.9
2014,"PL21",9.1
2014,"PL12",7.2
2014,"PL22",8.6
2015,"PL33",10.1
2015,"PL31",9.3
2015,"PL51",7
2015,"PL43",6.4
2015,"PL52",6.5
2015,"PL34",7
2015,"PL21",7.2
2015,"PL61",7.9
2015,"PL32",11.6
2015,"PL22",7.2
2015,"PL62",9.5
2015,"PL42",7.5
2015,"PL41",5.8
2015,"PL63",6.6
2015,"PL11",7.7
2015,"PL12",6.5
2016,"PL31",8
2016,"PL51",5.5
2016,"PL32",9.6
2016,"PL11",5.6
2016,"PL21",5.2
2016,"PL43",4.7
2016,"PL41",4.8
2016,"PL52",5
2016,"PL62",8.8
2016,"PL33",8.9
2016,"PL12",5.5
2016,"PL22",5.4
2016,"PL34",6.7
2016,"PL42",7
2016,"PL61",7.4
2016,"PL63",5.7
2011,"SI03",9.2
2011,"SI04",7
2012,"SI03",9.9
2012,"SI04",7.6
2013,"SI04",8.7
2013,"SI03",11.4
2014,"SI03",11.1
2014,"SI04",8.2
2015,"SI03",10.3
2015,"SI04",7.5
2016,"SI03",8.9
2016,"SI04",7.1
2011,"SK03",15.9
2011,"SK04",18.7
2011,"SK01",5.8
2011,"SK02",10.7
2012,"SK03",16.2
2012,"SK04",19
2012,"SK01",5.7
2012,"SK02",11.3
2013,"SK03",16.8
2013,"SK01",6.4
2013,"SK04",18.5
2013,"SK02",11.7
2014,"SK03",16
2014,"SK04",16.6
2014,"SK01",6
2014,"SK02",11
2015,"SK03",12.8
2015,"SK04",15
2015,"SK01",5.7
2015,"SK02",9.7
2016,"SK01",5.1
2016,"SK03",10.8
2016,"SK02",7.7
2016,"SK04",13.2
